areaType,areaName,areaCode,date,newPeopleVaccinatedFirstDoseByPublishDate,cumPeopleVaccinatedFirstDoseByPublishDate
overview,United Kingdom,K02000001,2021-03-26,411305,29727435
overview,United Kingdom,K02000001,2021-03-25,324942,29316130
overview,United Kingdom,K02000001,2021-03-24,337665,28991188
overview,United Kingdom,K02000001,2021-03-23,323941,28653523
overview,United Kingdom,K02000001,2021-03-22,335001,28329582
overview,United Kingdom,K02000001,2021-03-21,350705,27994581
overview,United Kingdom,K02000001,2021-03-20,753659,27643876
overview,United Kingdom,K02000001,2021-03-19,615891,26890217
overview,United Kingdom,K02000001,2021-03-18,527208,26274326
overview,United Kingdom,K02000001,2021-03-17,463241,25747118
overview,United Kingdom,K02000001,2021-03-16,437226,25283877
overview,United Kingdom,K02000001,2021-03-15,387825,24846651
overview,United Kingdom,K02000001,2021-03-14,255997,24458826
overview,United Kingdom,K02000001,2021-03-13,513207,24202829
overview,United Kingdom,K02000001,2021-03-12,372582,23689622
overview,United Kingdom,K02000001,2021-03-11,260393,23317040
overview,United Kingdom,K02000001,2021-03-10,245305,23056647
overview,United Kingdom,K02000001,2021-03-09,217427,22811342
overview,United Kingdom,K02000001,2021-03-08,212535,22593915
overview,United Kingdom,K02000001,2021-03-07,163390,22381380
overview,United Kingdom,K02000001,2021-03-06,417621,22217990
overview,United Kingdom,K02000001,2021-03-05,436831,21800369
overview,United Kingdom,K02000001,2021-03-04,375846,21363538
overview,United Kingdom,K02000001,2021-03-03,278016,20987692
overview,United Kingdom,K02000001,2021-03-02,228138,20709676
overview,United Kingdom,K02000001,2021-03-01,196948,20481538
overview,United Kingdom,K02000001,2021-02-28,185982,20284590
overview,United Kingdom,K02000001,2021-02-27,407574,20098608
overview,United Kingdom,K02000001,2021-02-26,504528,19691034
overview,United Kingdom,K02000001,2021-02-25,484876,19186506
overview,United Kingdom,K02000001,2021-02-24,450775,18701630
overview,United Kingdom,K02000001,2021-02-23,328751,18250855
overview,United Kingdom,K02000001,2021-02-22,191949,17922104
overview,United Kingdom,K02000001,2021-02-21,134808,17730155
overview,United Kingdom,K02000001,2021-02-20,337883,17595347
overview,United Kingdom,K02000001,2021-02-19,375250,17257464
overview,United Kingdom,K02000001,2021-02-18,453237,16882214
overview,United Kingdom,K02000001,2021-02-17,481839,16428977
overview,United Kingdom,K02000001,2021-02-16,365917,15947138
overview,United Kingdom,K02000001,2021-02-15,272347,15581221
overview,United Kingdom,K02000001,2021-02-14,235732,15308874
overview,United Kingdom,K02000001,2021-02-13,507578,15073142
overview,United Kingdom,K02000001,2021-02-12,543181,14565564
overview,United Kingdom,K02000001,2021-02-11,501757,14022383
overview,United Kingdom,K02000001,2021-02-10,453093,13520626
overview,United Kingdom,K02000001,2021-02-09,415820,13067533
overview,United Kingdom,K02000001,2021-02-08,349627,12651713
overview,United Kingdom,K02000001,2021-02-07,276020,12302086
overview,United Kingdom,K02000001,2021-02-06,550783,12026066
overview,United Kingdom,K02000001,2021-02-05,493925,11475283
overview,United Kingdom,K02000001,2021-02-04,484268,10981358
overview,United Kingdom,K02000001,2021-02-03,468746,10497090
overview,United Kingdom,K02000001,2021-02-02,376720,10028344
overview,United Kingdom,K02000001,2021-02-01,349170,9651624
overview,United Kingdom,K02000001,2021-01-31,316999,9302454
overview,United Kingdom,K02000001,2021-01-30,594330,8985455
overview,United Kingdom,K02000001,2021-01-29,491305,8391125
overview,United Kingdom,K02000001,2021-01-28,406289,7899820
overview,United Kingdom,K02000001,2021-01-27,316226,7493531
overview,United Kingdom,K02000001,2021-01-26,315309,7177305
overview,United Kingdom,K02000001,2021-01-25,281548,6861996
overview,United Kingdom,K02000001,2021-01-24,217342,6580448
overview,United Kingdom,K02000001,2021-01-23,493323,6363106
overview,United Kingdom,K02000001,2021-01-22,481695,5869783
overview,United Kingdom,K02000001,2021-01-21,409931,5388088
overview,United Kingdom,K02000001,2021-01-20,363925,4978157
overview,United Kingdom,K02000001,2021-01-19,342569,4614232
overview,United Kingdom,K02000001,2021-01-18,201227,4271663
overview,United Kingdom,K02000001,2021-01-17,186432,4070436
overview,United Kingdom,K02000001,2021-01-16,297994,3884004
overview,United Kingdom,K02000001,2021-01-15,345957,3586010
overview,United Kingdom,K02000001,2021-01-14,315809,3240053
overview,United Kingdom,K02000001,2021-01-13,280735,2924244
overview,United Kingdom,K02000001,2021-01-12,207988,2643509
overview,United Kingdom,K02000001,2021-01-11,145690,2435521
overview,United Kingdom,K02000001,2021-01-10,,2289831
